# list of object assets to load in this scene
[ASSETS]
mario.txt
cloud.txt
ground.txt
brick.txt
goomba.txt
koopas.txt
koopas_flip.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	136	90

#Koopas
3	272	10
3	96	60

#GOOMBA
2	112	160

# BRICKS
1	96	80

1	144	80
1	160	80
1	176	80
1	192	80
1	208	80
1	224	80
1	240	80
1	256	80
1	272	80

1	320	80
1	336	80
1	352	80
1	368	80
1	384	80

1	16	160
1	16	176
1	32	176
1	48	176
1	64	176
1	80	176
1	96	176
1	112	176
1	128	176
1	144	176
1	160	176
1	176	176
1	192	176
1	208	176
1	224	176
1	240	176
1	256	176
1	272	176
1	288	176
1	288	160

1	304	176
1	320	176
1	336	176
1	352	176
1	368	176
1	384	176
1	400	176
1	416	176
1	432	176
1	448	176
1	464	176
1	480	176
1	496	176
1	496	160


#Platform
5	112	128	10	15	32	151000	152000	153000

#Portal 
50	352	64	368	80	10
