# id	left	top	right	bottom	texture_id
[SPRITES]
#a, c, d, e, g, l, o, r, s, t, u, y
#a->1
1000601	548	214	555	221	50

#c->3
1000603	566	214	573	221	50

#d->4
1000604	575	214	582	221	50

#e->5
1000605	584	214	591	221	50

#g->7
1000607	602	214	609	221	50

#l->12
1000612	566	223	573	230	50

#o->15
1000615	593	223	600	230	50

#r->18
1000618	620	223	627	230	50

#s->19
1000619	548	232	555	239	50

#t->20
1000620	557	232	564	239	50

#u->21
1000621	566	232	573	239	50

#y->25
1000625	602	232	609	239	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
